year,state,age,gender,race,voter_registration
2020,Alaska,35,Female,100,1.0
2020,Alaska,29,Female,100,0.0
2020,Alaska,31,Male,300,1.0
2020,Alaska,30,Female,300,1.0
2020,Alaska,33,Male,100,0.0
2020,Alaska,51,Male,100,0.0
2020,Alaska,52,Male,300,0.0
2020,Alaska,68,Male,100,0.0
2020,Alaska,73,Female,100,0.0
2020,Alaska,20,Male,200,1.0
2020,Alaska,23,Male,810,1.0
2020,Alaska,36,Male,300,1.0
2020,Alaska,35,Female,300,1.0
2020,Alaska,35,Male,300,1.0
2020,Alaska,19,Female,100,0.0
2020,Alaska,34,Female,300,1.0
2020,Alaska,31,Female,200,0.0
2020,Alaska,57,Male,200,0.0
2020,Alaska,37,Female,100,0.0
2020,Alaska,39,Female,100,1.0
2020,Alaska,25,Female,100,1.0
2020,Alaska,26,Male,100,1.0
2020,Alaska,57,Female,100,0.0
2020,Alaska,30,Female,100,1.0
2020,Alaska,54,Male,100,1.0
2020,Alaska,56,Male,100,1.0
2020,Alaska,22,Female,100,1.0
2020,Alaska,28,Male,100,0.0
2020,Alaska,34,Female,100,1.0
2020,Alaska,24,Female,100,0.0
2020,Alaska,38,Male,100,1.0
2020,Alaska,43,Male,100,1.0
2020,Alaska,36,Male,100,1.0
2020,Alaska,48,Male,802,1.0
2020,Alaska,32,Female,300,0.0
2020,Alaska,23,Female,100,0.0
2020,Alaska,32,Male,300,1.0
2020,Alaska,19,Female,100,1.0
2020,Alaska,39,Male,100,0.0
2020,Alaska,37,Female,651,0.0
2020,Alaska,51,Female,100,0.0
2020,Alaska,44,Male,100,1.0
2020,Alaska,30,Male,651,1.0
2020,Alaska,41,Female,100,0.0
2020,Alaska,23,Female,200,1.0
2020,Alaska,51,Female,300,0.0
2020,Alaska,40,Male,100,1.0
2020,Alaska,25,Female,300,0.0
2020,Alaska,45,Male,100,0.0
2020,Alaska,37,Male,300,0.0
2020,Alaska,48,Male,200,0.0
2020,Alaska,27,Male,200,0.0
2020,Alaska,24,Female,100,0.0
